composition,class
Li6FeCl8,False
Sr2LiCBr3N2,True
LiHoS2,False
Li2B2S5,False
Li4SiO4,True
Li6TeO6,False
KLiS,True
Li2S,True
Li3Fe2(PO4)3,False
Li6NBr3,True
Li2PNO2,True
LiSO3F,False
Li3PS4,False
LiDyS2,False
LiGa(PO3)4,False
Li2SiN2,True
Li6WN4,False
Li3Sc2(PO4)3,False
Li3N,True
BaLiBS3,False
Li7La3Zr2O12,True
LiErSe2,False
Li3VO4,True
NaLiSe,False
Li7PN4,True
Li10GeP2S12,False
LiMgN,True
Li2GePbS4,False
Li3InCl6,False
LiBiF4,False
RbLiS,True
LiLaTi2O6,False
Li3P,True
LiErS2,False
Li3BS3,False
Li7VGeO8,True
CsLi2BS3,False
LiScTl2Cl6,False
LiGaCl3,False
LiSnPO4,False
